target_0,target_1,target_2,target_3,agent_H_NH,tool_mediated,transitivity,touch_2
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,1,0,0,1,0,0,0
6,0,1,0,0,1,0,0,0
7,1,1,0,0,1,0,1,1
8,1,0,0,0,1,0,1,1
9,1,0,0,0,1,0,1,1
10,1,0,0,0,1,1,1,1
11,0,0,0,0,1,0,1,1
12,0,0,0,0,1,0,1,1
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0
18,1,1,0,0,0,0,1,1
19,1,0,0,0,0,0,1,1
20,1,0,0,0,0,0,1,1
21,1,0,0,0,0,0,1,1
22,1,0,0,0,0,0,1,1
23,1,0,0,0,0,0,1,1
24,1,1,0,0,0,0,1,1
25,1,0,0,0,0,0,1,1
26,1,0,0,0,0,0,1,1
27,1,0,0,0,0,0,1,1
28,1,0,0,0,0,0,1,1
29,0,0,1,0,0,0,0,0
30,0,0,1,0,0,0,0,0
31,0,0,1,0,0,0,0,0
32,0,1,1,0,1,0,0,0
33,0,1,1,0,1,0,0,0
34,0,1,1,0,1,0,0,0
35,1,1,0,0,1,0,1,1
36,1,0,0,0,0,0,1,1
37,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0
40,1,1,0,0,0,0,1,1
41,1,0,0,0,0,0,1,1
42,1,0,0,0,0,0,1,1
43,1,1,0,0,0,0,1,1
44,0,1,0,0,0,0,0,0
45,1,1,0,0,0,0,1,1
46,1,0,0,0,0,0,1,1
47,1,1,0,0,0,0,1,1
48,1,1,0,0,0,0,1,1
49,1,0,0,0,0,0,1,1
50,1,0,0,0,0,0,1,1
51,0,0,0,0,0,0,0,0
52,1,0,0,0,1,0,1,0
53,1,1,0,0,1,0,1,0
54,1,1,0,0,1,0,1,0
55,1,1,0,0,1,0,1,0
56,1,1,0,0,1,0,1,1
57,1,0,0,0,1,0,1,1
58,1,0,0,0,1,0,1,0
59,1,0,1,0,1,0,1,0
60,1,0,1,1,1,0,0,0
61,1,0,1,0,1,0,0,0
62,0,0,1,0,1,0,0,0
63,0,0,1,0,1,0,0,0
64,0,0,1,0,1,0,0,0
65,0,0,1,0,1,0,0,0
66,1,0,1,0,1,0,0,0
67,1,0,1,0,1,0,0,0
68,0,1,1,1,1,0,0,0
69,0,0,0,1,1,0,0,0
70,0,0,1,1,1,0,0,0
71,0,0,1,0,1,0,0,0
72,0,0,1,0,1,0,0,0
73,0,0,1,0,1,0,0,0
74,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
