sociality,touch_1,multi_ag_vs_jointact_1,multi_ag_vs_jointact_2,ToM,people_present
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,1,0,0,0,0,0
29,1,1,0,0,0,0
30,1,1,0,0,0,0
31,1,1,0,0,0,0
32,1,1,0,0,0,0
33,1,1,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,1,0,0,0,0,0
60,1,0,0,0,0,0
61,1,0,0,0,0,1
62,1,0,0,0,0,1
63,1,0,0,0,0,1
64,1,0,0,0,0,1
65,1,0,0,0,0,1
66,1,0,0,0,0,1
67,1,0,0,0,0,1
68,1,0,0,0,1,1
69,1,0,0,0,1,1
70,1,0,0,0,1,0
71,1,0,0,0,1,1
72,1,0,0,0,1,1
73,1,0,0,0,1,1
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,1
79,1,0,0,0,0,0
80,1,0,0,0,0,1
81,0,0,0,0,0,1
82,1,0,0,0,0,1
83,1,0,0,0,0,0
84,1,0,0,0,0,1
85,1,0,0,0,0,1
86,1,0,0,0,0,1
87,1,0,0,0,0,1
88,1,0,0,0,0,0
89,1,0,0,0,0,0
90,1,0,0,0,0,0
91,1,0,0,0,0,0
92,1,0,0,0,0,1
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,1,0,0,0,0
97,1,1,0,0,0,0
98,1,1,0,0,0,0
99,1,1,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,0,0,0,1,0
103,1,0,0,0,1,1
104,1,0,0,0,0,1
105,1,0,0,0,0,1
106,1,0,0,0,0,1
107,1,0,0,0,0,1
108,1,0,0,0,0,1
109,1,0,0,0,0,1
110,1,0,0,0,0,1
111,1,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,0,1
114,0,0,0,0,0,1
115,0,0,0,0,0,0
116,0,0,0,0,0,1
117,0,0,0,0,0,1
118,1,0,0,0,0,1
119,1,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,1
125,0,0,0,0,0,1
126,0,0,0,0,0,1
127,0,0,0,0,0,1
128,1,0,0,0,0,0
129,1,0,0,0,1,0
130,1,0,0,0,1,0
131,1,0,0,0,1,0
132,1,0,0,0,1,0
133,1,0,0,0,0,1
134,1,0,0,0,0,1
135,0,0,0,0,0,1
136,0,0,0,0,0,1
137,0,0,0,0,0,1
138,0,0,0,0,0,1
139,0,0,0,0,0,1
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,1,0,0,0,0,0
144,1,0,0,0,0,0
145,1,0,0,0,0,0
146,1,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,1,0,0,0,0,0
154,1,0,0,0,0,0
155,1,0,0,0,0,0
156,1,0,0,0,0,0
157,1,0,0,0,0,0
158,1,0,0,0,0,0
159,1,0,0,0,0,0
160,1,0,0,0,0,0
161,1,0,0,0,0,0
162,1,0,0,0,0,0
163,1,0,0,0,0,0
164,1,0,0,0,0,0
165,1,0,0,0,0,1
166,1,0,0,0,0,1
167,1,0,0,0,0,1
168,1,0,0,0,0,1
169,1,0,0,0,0,1
170,1,0,0,0,0,1
171,1,0,0,0,1,1
172,1,0,0,0,1,1
173,1,0,0,0,1,1
174,1,0,0,0,1,1
175,1,0,0,0,0,1
176,1,0,0,0,0,1
177,1,0,0,0,0,0
178,1,0,0,0,0,0
179,1,0,0,0,0,0
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,1,0,0,0,0,1
183,1,0,0,0,0,1
184,1,0,0,0,0,1
185,1,0,0,0,0,1
186,1,0,0,0,0,1
187,1,0,0,0,0,1
188,1,0,0,0,0,1
189,1,0,0,0,0,1
190,1,0,0,0,0,1
191,1,0,0,0,0,0
192,1,0,0,0,0,0
193,1,0,0,0,0,0
194,1,0,0,0,0,0
195,1,0,0,0,0,0
196,1,0,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,0,0,0,0,0
200,1,0,0,0,0,0
201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,1,0,0,0,0,0
204,1,0,0,0,0,0
