,act,context,onset,offset,inter_scale,target,predictability,agent_H_NH,main_effector,eff_visibility,act_label,obj_label,run,sociality,dinamicity,durativity,telicity,iterativity,transitivity,multi_ag_vs_jointact,tool_mediated,faces,ToM,touch,EBL,EIA,gesticolare,simbolic_gestures,people_present,rater
0,act_1,1,00:11.8,00:14.8,1,0,1,1,5,1,dirigersi,furgoncino,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
1,act_2,1,00:15.0,00:17.5,1,0,1,1,0,1,appoggiare,bottiglie ,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,LT
2,act_3,1,00:17.9,00:20.1,1,0,1,1,5,0,sedersi,sedile ,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,LT
3,act_4,1,00:20.1,00:20.8,0,0,1,1,0,0,accendere,furgoncino,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,LT
4,act_5,2,00:32.6,00:35.1,0,1,0,0,10,1,scuotersi,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LT
5,act_6,2,00:37.7,00:38.8,0,0,1,0,7,1,aprire,porta,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,LT
6,act_7,2,00:37.7,00:39.1,1,0,1,0,5,0,dirigersi,bagno,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LT
7,act_8,2,00:41.6,00:43.1,0,0,1,0,4,1,aprire ,doccia,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,LT
8,act_9,2,00:45.1,00:48.1,0,0,1,0,6,1,chiudere,tendina,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,LT
9,act_10,2,00:52.6,00:57.2,1,0,1,0,6,1,scostare,coperta,1,1,1,0,1,0,1,0,0,1,0,2,0,1,0,0,0,LT
10,act_11,2,00:58.6,01:07.1,0,2,1,0,8,1,leccare,orecchio,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,LT
11,act_12,2,01:08.9,01:09.0,0,2,1,0,6,1,abbaiare,uomo,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,LT
12,act_13,2,01:08.9,01:09.0,0,1,0,1,9,1,svegliarsi ,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
13,act_14,2,01:12.4,01:12.8,0,0,0,0,7,1,accendere,caffè,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,LT
14,act_15,2,01:17.5,01:20.5,1,0,1,0,5,1,dirigersi,tavolo,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LT
15,act_16,2,01:21.0,01:22.0,0,0,1,0,4,0,avviare,computer,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,LT
16,act_17,2,01:24.6,01:25.7,0,0,0,0,6,1,abbaiare,computer,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LT
